Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,PQ_First_Sent_to_Client_Date,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,First_Line_Designation,Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean
Zambia,PMO - US,From RDC,N/A - From RDC,Truck,,,2008-07-23,2008-07-23,2008-07-23,ARV,Adult,SCMS from RDC,Generic,Tablet,60,60000,432000.0,7.2,0.12,No,691.2,7053.51,12606.0
Others,PMO - US,From RDC,N/A - From RDC,Air,,,2008-05-20,2008-05-20,2008-05-20,ARV,Adult,SCMS from RDC,Others,Tablet,120,1530,125766.0,82.2,0.68,Yes,201.23,4220.15,347.0
Tanzania,PMO - US,From RDC,N/A - From RDC,Air,,,2008-07-10,2008-07-10,2008-07-10,ARV,Adult,SCMS from RDC,Generic,Tablet,60,11352,33034.32,2.91,0.05,Yes,52.85,4152.56,572.0
Tanzania,PMO - US,From RDC,N/A - From RDC,Air,,,2008-09-26,2008-09-26,2008-09-26,ARV,Adult,SCMS from RDC,Others,Tablet,120,2580,106038.0,41.1,0.34,Yes,169.66,1153.97,587.0
Others,PMO - US,From RDC,N/A - From RDC,Air,,,2008-11-11,2008-11-11,2008-11-11,ARV,Adult,SCMS from RDC,Generic,Tablet,60,5000,39500.0,7.9,0.13,Yes,77.42,1774.3,229.0
Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,,,2008-11-19,2008-11-19,2008-11-19,ARV,Adult,SCMS from RDC,Generic,Tablet,30,8000,16000.0,2.0,0.07,Yes,31.36,29883.7,8855.0
Zambia,PMO - US,From RDC,N/A - From RDC,Air,,,2008-12-11,2008-12-11,2008-12-11,ARV,Adult,SCMS from RDC,Generic,Tablet,60,2306,18793.9,8.15,0.14,Yes,36.84,1659.48,132.0
Others,PMO - US,From RDC,N/A - From RDC,Air,,,2008-11-21,2008-11-21,2008-11-21,ARV,Adult,SCMS from RDC,Generic,Tablet,60,416,3286.4,7.9,0.13,Yes,6.44,1465.71,49.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2009-03-03,2009-03-03,2009-03-03,ARV,Adult,SCMS from RDC,Generic,Tablet,60,50,395.0,7.9,0.13,Yes,0.77,978.92,3.0
Zambia,PMO - US,From RDC,N/A - From RDC,Truck,,,2008-10-21,2008-10-21,2008-10-21,ARV,Adult,SCMS from RDC,Generic,Tablet,60,40454,137543.6,3.4,0.06,Yes,269.59,4060.55,3787.0
Uganda,PMO - US,From RDC,N/A - From RDC,Truck,,,2008-12-15,2008-12-15,2008-12-15,ARV,Adult,SCMS from RDC,Generic,Tablet,60,2523,8073.6,3.2,0.05,Yes,15.82,5698.01,585.0
Others,PMO - US,From RDC,N/A - From RDC,Air,,,2009-03-06,2009-03-06,2009-03-06,ARV,Adult,SCMS from RDC,Generic,Tablet,60,15000,131400.0,8.76,0.15,Yes,257.54,21215.4,1364.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2008-11-17,2008-11-17,2008-11-17,ARV,Adult,SCMS from RDC,Generic,Capsule,60,948,1469.4,1.55,0.03,Yes,2.88,4984.4,127.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2008-11-17,2008-11-17,2008-11-17,ARV,Adult,SCMS from RDC,Generic,Tablet,60,1077,3123.3,2.9,0.05,No,6.12,4984.4,127.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2008-11-17,2008-11-17,2008-11-17,ARV,Adult,SCMS from RDC,Others,Tablet,30,6,157.5,26.25,0.88,No,0.31,4984.4,127.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2008-11-17,2008-11-17,2008-11-17,ARV,Adult,SCMS from RDC,Generic,Tablet,60,2454,8343.6,3.4,0.06,Yes,16.35,4401.4,231.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2008-11-26,2008-11-26,2008-11-26,ARV,Adult,SCMS from RDC,Generic,Tablet,60,2780,25993.0,9.35,0.16,Yes,50.95,2426.8,262.0
Zambia,PMO - US,From RDC,N/A - From RDC,Truck,,,2008-09-23,2008-09-23,2008-09-23,ARV,Adult,SCMS from RDC,Generic,Tablet,60,26402,249498.9,9.45,0.16,Yes,399.2,6269.7,6986.0
Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,,,2008-09-12,2008-09-12,2008-09-12,ARV,Adult,SCMS from RDC,Generic,Tablet,60,76000,562400.0,7.4,0.12,No,899.84,30585.17,8481.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2008-09-12,2008-09-12,2008-09-12,ARV,Adult,SCMS from RDC,Others,Tablet,30,76,1995.0,26.25,0.88,Yes,3.19,747.5,7.0
Haiti,PMO - US,From RDC,N/A - From RDC,Air,,,2008-12-10,2008-12-10,2008-12-10,ARV,Pediatric,SCMS from RDC,Generic,Oral,240,1595,3030.5,1.9,0.01,Yes,5.94,6338.09,598.0
Zambia,PMO - US,From RDC,N/A - From RDC,Truck,,,2008-11-07,2008-11-07,2008-11-07,ARV,Adult,SCMS from RDC,Generic,Tablet,60,50000,170000.0,3.4,0.06,Yes,333.2,2938.92,2773.0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,,,2008-12-18,2008-12-18,2008-12-18,ARV,Adult,SCMS from RDC,Generic,Tablet,60,92950,669240.0,7.2,0.12,Yes,1311.71,7534.18,6883.0
Others,PMO - US,From RDC,N/A - From RDC,Truck,,,2008-10-31,2008-10-31,2008-10-31,HRDT,HIV,SCMS from RDC,Uni-Gold,Test kit,20,1250,40000.0,32.0,1.6,Yes,78.4,157.5,394.0
Others,PMO - US,From RDC,N/A - From RDC,Truck,,,2008-10-30,2008-10-30,2008-10-30,ARV,Pediatric,SCMS from RDC,Generic,Tablet,60,1008,2509.92,2.49,0.04,Yes,4.92,2989.45,303.0
Others,PMO - US,From RDC,N/A - From RDC,Truck,,,2008-10-30,2008-10-30,2008-10-30,ARV,Pediatric,SCMS from RDC,Generic,Tablet,60,3600,16344.0,4.54,0.08,No,32.03,2989.45,303.0
Others,PMO - US,From RDC,N/A - From RDC,Air,,,2009-03-04,2009-03-04,2009-03-04,ARV,Adult,SCMS from RDC,Generic,Tablet,60,41922,298484.64,7.12,0.12,Yes,585.03,14732.36,3190.0
Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,,,2008-12-01,2008-12-01,2008-12-01,ARV,Pediatric,SCMS from RDC,Generic,Oral,200,3250,4550.0,1.4,0.01,Yes,8.92,6381.87,315.0
Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,,,2008-12-03,2008-12-03,2008-12-03,ARV,Pediatric,SCMS from RDC,Others,Oral,180,1793,30409.28,16.96,0.09,No,59.6,14336.95,2521.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2008-12-09,2008-12-09,2008-12-09,ARV,Adult,SCMS from RDC,Generic,Tablet,60,4704,55507.2,11.8,0.2,No,108.79,2437.63,547.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2008-11-04,2008-11-04,2008-11-04,ARV,Adult,SCMS from RDC,Others,Tablet,30,67,1758.75,26.25,0.88,Yes,3.45,4503.0,666.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2008-11-04,2008-11-04,2008-11-04,ARV,Adult,SCMS from RDC,Generic,Tablet,60,5919,69844.2,11.8,0.2,No,136.89,4503.0,666.0
Zambia,PMO - US,From RDC,N/A - From RDC,Air,,,2009-03-17,2009-03-17,2009-03-17,ARV,Adult,SCMS from RDC,Generic,Tablet,30,100000,1100000.0,11.0,0.37,Yes,2156.0,14041.17,8645.0
Tanzania,PMO - US,From RDC,N/A - From RDC,,,,2008-09-15,2008-09-15,2008-09-15,ARV,Adult,SCMS from RDC,Generic,Tablet,60,58086,551817.0,9.5,0.16,Yes,882.91,9001.03,8343.0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,,,2009-02-21,2009-02-21,2009-02-21,ARV,Adult,SCMS from RDC,Generic,Tablet,60,7306,23379.2,3.2,0.05,No,45.82,3671.92,6036.0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,,,2008-09-05,2008-09-05,2008-09-05,ARV,Adult,SCMS from RDC,Generic,Tablet,30,10000,20000.0,2.0,0.07,No,32.0,3227.48,4211.0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,,,2009-02-26,2009-02-26,2009-02-26,ARV,Adult,SCMS from RDC,Generic,Tablet,60,92933,669117.6,7.2,0.12,Yes,1311.47,7199.72,7011.0
Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,,,2008-12-01,2008-12-01,2008-12-01,ARV,Adult,SCMS from RDC,Generic,Tablet,60,21542,84013.8,3.9,0.06,Yes,164.67,6381.87,1583.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2009-01-09,2009-01-09,2009-01-09,ARV,Adult,SCMS from RDC,Generic,Tablet,60,1511,10879.2,7.2,0.12,Yes,21.32,2202.02,205.0
Others,PMO - US,From RDC,N/A - From RDC,Air,,,2009-03-03,2009-03-03,2009-03-03,ARV,Adult,SCMS from RDC,Generic,Tablet,30,11549,122650.38,10.62,0.35,No,240.39,16901.37,4593.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2008-09-25,2008-09-25,2008-09-25,ARV,Pediatric,SCMS from RDC,Generic,Oral,240,14668,30802.8,2.1,0.01,Yes,49.28,7876.44,5511.0
Tanzania,PMO - US,From RDC,N/A - From RDC,Air,,,2008-09-26,2008-09-26,2008-09-26,ARV,Adult,SCMS from RDC,Generic,Tablet,30,131808,1583014.08,12.01,0.4,Yes,2532.82,8399.76,9996.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2009-03-05,2009-03-05,2009-03-05,ARV,Adult,SCMS from RDC,Generic,Tablet,60,1524,4876.8,3.2,0.05,No,9.56,2151.27,177.0
Others,PMO - US,From RDC,N/A - From RDC,Air,,,2009-03-03,2009-03-03,2009-03-03,ARV,Adult,SCMS from RDC,Generic,Tablet,30,7000,92960.0,13.28,0.44,No,182.2,16901.37,4593.0
Others,PMO - US,From RDC,N/A - From RDC,Air,,,2009-03-03,2009-03-03,2009-03-03,ARV,Adult,SCMS from RDC,Generic,Tablet,30,14814,29628.0,2.0,0.07,No,58.07,16901.37,4593.0
Others,PMO - US,From RDC,N/A - From RDC,Air,,,2009-04-01,2009-04-01,2009-04-01,HRDT,HIV,SCMS from RDC,Uni-Gold,Test kit,20,15,540.0,36.0,1.8,Yes,1.06,1764.93,16.0
Zambia,PMO - US,From RDC,N/A - From RDC,Truck,,,2008-08-27,2008-08-27,2008-08-27,ARV,Adult,SCMS from RDC,Generic,Tablet,60,44440,151096.0,3.4,0.06,Yes,241.75,6120.06,8276.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2008-08-24,2008-08-24,2008-08-24,ARV,Adult,SCMS from RDC,Others,Tablet,30,15000,393750.0,26.25,0.88,Yes,630.0,8924.98,1317.0
Haiti,PMO - US,From RDC,N/A - From RDC,Air,,,2008-11-04,2008-11-04,2008-11-04,ARV,Adult,SCMS from RDC,Generic,Tablet,60,21814,69804.8,3.2,0.05,No,136.82,121330.06,10435.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2009-01-19,2009-01-19,2009-01-19,ARV,Adult,SCMS from RDC,Generic,Tablet,60,1923,79035.3,41.1,0.68,No,154.91,13538.35,192.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2009-01-09,2009-01-09,2009-01-09,ARV,Adult,SCMS from RDC,Generic,Tablet,60,3374,24292.8,7.2,0.12,Yes,47.61,2331.03,250.0
