Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,PQ_First_Sent_to_Client_Date,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,First_Line_Designation,Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,,2006-06-02,2006-06-02,2006-06-02,HRDT,HIV,Others,Others,Test kit,30,19,551.0,29.0,0.97,Yes,47.04,780.34,13.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,,2006-11-14,2006-11-14,2006-11-14,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240,1000,6200.0,6.2,0.03,Yes,47.04,4521.5,358.0
Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,,,2006-08-27,2006-08-27,2006-08-27,HRDT,HIV,Others,Determine,Test kit,100,500,40000.0,80.0,0.8,Yes,47.04,1653.78,171.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,,2006-09-01,2006-09-01,2006-09-01,ARV,Adult,Others,Generic,Tablet,60,31920,127360.8,3.99,0.07,Yes,47.04,16007.06,1855.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,,2006-08-11,2006-08-11,2006-08-11,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,60,38000,121600.0,3.2,0.05,Yes,47.04,45450.08,7590.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,,2006-09-28,2006-09-28,2006-09-28,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240,416,2225.6,5.35,0.02,Yes,47.04,5920.42,504.0
Tanzania,PMO - US,Direct Drop,EXW,Air,,,2006-11-24,2006-11-24,2006-11-24,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60,16667,60834.55,3.65,0.06,Yes,47.04,6212.41,1478.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,,2006-12-07,2006-12-07,2006-12-07,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,60,273,532.35,1.95,0.03,No,47.04,4861.14,479.0
Zambia,PMO - US,Direct Drop,EXW,Air,,,2007-01-08,2007-01-08,2007-01-08,HRDT,HIV,"Trinity Biotech, Plc",Uni-Gold,Test kit,20,2500,100000.0,40.0,2.0,Yes,47.04,13569.49,853.0
Others,PMO - US,Direct Drop,EXW,Air,,2006-12-22,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,Others,Generic,Tablet,60,10000,99800.0,9.98,0.17,Yes,47.04,64179.42,7416.0
Haiti,PMO - US,Direct Drop,EXW,Air,,,2007-01-18,2007-01-18,2007-01-18,HRDT,HIV,Others,Determine,Test kit,100,750,60000.0,80.0,0.8,Yes,47.04,1760.32,256.0
Others,PMO - US,Direct Drop,EXW,Air,,,2007-03-29,2007-03-29,2007-03-29,HRDT,HIV,Others,Others,Test kit,30,2000,33000.0,16.5,0.55,Yes,47.04,3120.7,710.0
Tanzania,PMO - US,Direct Drop,CIP,Air,,2007-04-12,2007-06-06,2007-06-06,2007-06-06,ARV,Pediatric,Others,Others,Oral,200,712,8964.08,12.59,0.06,Yes,47.04,912.96,162.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,2007-05-13,2007-06-19,2007-06-19,2007-06-19,HRDT,HIV,Others,Determine,Test kit,100,1000,80000.0,80.0,0.8,Yes,128.0,2682.47,341.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,2007-05-17,2007-06-19,2007-06-19,2007-06-19,HRDT,HIV,Others,Others,Test kit,20,7500,202500.0,27.0,1.35,Yes,47.04,15893.71,2278.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-07-04,2007-10-15,2007-10-15,2007-10-15,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240,1000,1920.0,1.92,0.01,Yes,3.07,4193.49,941.0
Vietnam,PMO - US,Direct Drop,FCA,Air,,2007-07-04,2007-08-27,2007-08-27,2007-08-27,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Others,Tablet,120,500,41095.0,82.19,0.68,Yes,65.75,1767.38,117.0
Haiti,PMO - US,Direct Drop,EXW,Air,,2007-07-26,2007-08-13,2007-08-21,2007-08-21,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,750,53992.5,71.99,0.72,Yes,86.39,3518.38,171.0
Haiti,PMO - US,Direct Drop,EXW,Air,,2007-07-26,2007-08-25,2007-08-25,2007-08-25,HRDT,HIV,Others,Others,Test kit,100,25,8750.0,350.0,3.5,Yes,14.0,3097.85,60.0
Tanzania,PMO - US,Direct Drop,EXW,Air,,,2007-10-16,2007-10-16,2007-10-16,HRDT,HIV,Others,Others,Test kit,25,10000,200000.0,20.0,0.8,Yes,320.0,27869.74,3335.0
Tanzania,PMO - US,Direct Drop,EXW,Air,,,2007-11-22,2007-11-22,2007-11-22,HRDT,HIV,Others,Others,Test kit,25,10000,200000.0,20.0,0.8,Yes,320.0,28461.1,3335.0
Tanzania,PMO - US,Direct Drop,EXW,Air,,,2007-11-22,2007-11-22,2007-11-22,HRDT,HIV,Others,Others,Test kit,25,10000,200000.0,20.0,0.8,Yes,320.0,28359.8,3335.0
Others,PMO - US,Direct Drop,EXW,Air,,2007-10-03,2007-11-20,2007-11-20,2007-11-20,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,60,64000,99200.0,1.55,0.03,Yes,158.72,12237.61,4228.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,2007-08-28,2007-10-03,2007-10-03,2007-10-03,HRDT,HIV,Others,Others,Test kit,20,10000,270000.0,27.0,1.35,Yes,432.0,20885.78,3263.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-11-19,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,Others,Others,Tablet,30,1000,17000.0,17.0,0.57,Yes,27.2,2282.57,76.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-11-21,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,Others,Generic,Tablet,60,400,3352.0,8.38,0.14,Yes,5.36,2149.05,23.0
Others,PMO - US,Direct Drop,EXW,Air,,2007-12-10,2008-01-31,2008-01-31,2008-01-31,HRDT,HIV,"Orgenics, Ltd",Generic,Test kit,100,1500,15.0,0.01,0.0,Yes,0.02,0.75,99.0
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2008-02-27,2008-06-17,2008-06-17,2008-06-17,HRDT,HIV,Others,Others,Test kit,40,476,36176.0,76.0,1.9,Yes,57.88,5446.51,509.0
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2008-03-03,2009-03-19,2009-03-19,2009-03-19,HRDT,HIV,Others,Others,Test kit,25,659,13180.0,20.0,0.8,Yes,25.83,2656.12,206.0
Others,PMO - US,Direct Drop,EXW,Air,,2008-02-28,2008-07-28,2008-07-28,2008-07-28,HRDT,HIV,"Orgenics, Ltd",Generic,Test kit,100,213,2.13,0.01,0.0,Yes,0.0,360.0,14.0
Zimbabwe,PMO - US,Direct Drop,EXW,Air,,2008-03-17,2008-11-17,2008-11-17,2008-11-17,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,1634,117631.66,71.99,0.72,Yes,188.21,4112.46,373.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,2008-03-13,2008-04-17,2008-04-17,2008-04-17,HRDT,HIV,Others,Others,Test kit,20,1425,38475.0,27.0,1.35,Yes,61.56,5468.88,483.0
Others,PMO - US,Direct Drop,EXW,Air,,2008-03-18,2008-06-04,2008-06-04,2008-06-04,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,142,10222.58,71.99,0.72,Yes,16.36,1715.17,33.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2008-03-31,2008-06-03,2008-06-03,2008-06-03,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,30,8400,96432.0,11.48,0.38,Yes,154.29,4051.34,654.0
Vietnam,PMO - US,Direct Drop,CIP,Air,,2008-03-31,2008-07-12,2008-07-12,2008-07-12,ARV,Pediatric,Others,Others,Tablet,60,400,2800.0,7.0,0.12,Yes,4.48,2211.05,81.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,,2008-07-09,2008-07-09,2008-07-09,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,5498,439785.02,79.99,0.8,Yes,703.66,16090.22,1251.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2008-05-14,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,30,1344,18359.04,13.66,0.46,Yes,29.37,13507.92,1537.0
Tanzania,PMO - US,Direct Drop,CIP,Air,,2008-05-15,2008-09-02,2008-09-02,2008-09-02,ARV,Adult,Others,Others,Capsule,30,2597,61470.99,23.67,0.79,Yes,98.35,645.1,117.0
Haiti,PMO - US,Direct Drop,EXW,Air,,2008-05-20,2008-09-30,2008-09-30,2008-09-30,HRDT,HIV,Others,Others,Test kit,100,28,9800.0,350.0,3.5,Yes,15.68,782.13,109.0
Haiti,PMO - US,Direct Drop,EXW,Air,,2008-05-23,2008-11-24,2008-11-24,2008-11-24,HRDT,HIV,"Trinity Biotech, Plc",Others,Test kit,100,84,11676.0,139.0,1.39,Yes,22.88,871.57,54.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2008-07-01,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60,38640,92736.0,2.4,0.04,Yes,148.38,18614.72,2719.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,2008-07-02,2009-02-25,2008-09-09,2008-09-09,ACT,ACT,Others,Others,Tablet,540,34,1547.68,45.52,0.08,Yes,2.48,1755.87,115.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2008-07-03,2008-10-08,2008-10-08,2008-10-08,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,60,42000,60900.0,1.45,0.02,Yes,97.44,10179.16,2600.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2008-07-24,2008-11-27,2008-11-27,2008-11-27,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,30,16800,171192.0,10.19,0.34,Yes,335.54,4686.88,1224.0
Others,PMO - US,Direct Drop,CIP,Air,,2008-07-25,2008-08-15,2008-08-15,2008-08-15,MRDT,Malaria,Others,Others,Test kit,25,98,3675.0,37.5,1.5,Yes,5.88,180.0,34.0
Zambia,PMO - US,Direct Drop,EXW,Air,,2008-07-31,2008-10-20,2008-10-20,2008-10-20,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,4500,323955.0,71.99,0.72,Yes,634.95,11062.05,1053.0
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2008-08-27,2008-10-02,2008-10-02,2008-10-02,HRDT,HIV,Others,Others,Test kit,40,500,38000.0,76.0,1.9,Yes,60.8,11298.13,562.0
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2008-09-03,2009-01-23,2009-01-23,2009-01-23,ACT,ACT,Others,Generic,Tablet,12,25000,9750.0,0.39,0.03,Yes,19.11,12830.91,1708.0
Others,PMO - US,Direct Drop,EXW,Air,,2008-09-24,2008-10-29,2008-10-29,2008-10-29,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,150,10798.5,71.99,0.72,Yes,21.17,2698.04,46.0
Others,PMO - US,Direct Drop,EXW,Air,,2008-10-02,2008-11-28,2008-11-28,2008-11-28,HRDT,HIV,"Trinity Biotech, Plc",Uni-Gold,Test kit,2,15,450.0,30.0,15.0,Yes,0.88,578.01,1.0
Zambia,PMO - US,Direct Drop,EXW,Air,,2008-10-02,2009-01-23,2009-01-23,2009-01-23,HRDT,HIV,Others,Others,Test kit,25,319,6380.0,20.0,0.8,Yes,12.5,1122.24,100.0
Tanzania,PMO - US,Direct Drop,CIP,Air,,2008-12-19,2009-04-21,2009-04-21,2009-04-21,ARV,Adult,Others,Others,Tablet,30,50000,2520000.0,50.4,1.68,Yes,4939.2,9339.0,4093.0
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2008-12-19,2009-03-02,2009-03-02,2009-03-02,ANTM,Malaria,Others,Generic,Injection,100,140,2731.4,19.51,0.2,Yes,5.35,25405.22,5209.0
Mozambique,PMO - US,Direct Drop,EXW,Air,,2009-01-05,2009-03-23,2009-03-23,2009-03-23,HRDT,HIV,"Trinity Biotech, Plc",Uni-Gold,Test kit,20,5700,182400.0,32.0,1.6,Yes,357.5,23914.8,1906.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2009-01-16,2009-04-10,2009-04-10,2009-04-10,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60,5964,51350.04,8.61,0.14,Yes,100.65,12835.2,3509.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2009-01-16,2009-04-10,2009-04-10,2009-04-10,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60,21000,50400.0,2.4,0.04,No,98.78,12835.2,3509.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2009-01-16,2009-03-23,2009-03-23,2009-03-23,ARV,Adult,Others,Generic,Tablet,60,10560,72864.0,6.9,0.12,Yes,142.81,4225.93,924.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2008-10-21,2009-03-16,2009-03-16,2009-03-16,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60,2352,20250.72,8.61,0.14,Yes,39.69,892.5,211.0
Tanzania,PMO - US,Direct Drop,FCA,Air,,2009-02-05,2009-05-28,2009-05-28,2009-05-28,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Others,Oral,300,524,21536.4,41.1,0.14,Yes,42.21,6668.61,644.0
Others,PMO - US,Direct Drop,EXW,Air,,2009-02-18,2009-04-28,2009-04-28,2009-04-28,HRDT,HIV,Others,Others,Test kit,30,8249,185602.5,22.5,0.75,Yes,363.78,12595.81,2800.0
Nigeria,PMO - US,Direct Drop,CIP,Air,,2009-03-04,2009-09-30,2009-09-30,2009-09-30,ARV,Adult,Others,Others,Capsule,30,200,4734.0,23.67,0.79,Yes,9.28,463.0,11.0
Haiti,PMO - US,Direct Drop,CIP,Air,,2009-03-06,2009-03-31,2009-03-31,2009-03-31,ARV,Pediatric,Others,Others,Tablet,60,80,760.0,9.5,0.16,Yes,1.49,260.0,43.0
Haiti,PMO - US,Direct Drop,CIP,Air,,2009-03-06,2009-03-31,2009-03-31,2009-03-31,ARV,Pediatric,Others,Others,Oral,200,32,402.88,12.59,0.06,No,0.79,260.0,43.0
Haiti,PMO - US,Direct Drop,FCA,Air,,2009-03-06,2009-04-15,2009-04-15,2009-04-15,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Generic,Tablet,60,46,472.88,10.28,0.17,Yes,0.93,893.22,10.0
Others,PMO - US,Direct Drop,EXW,Air,,2009-03-25,2009-11-13,2009-11-13,2009-11-13,HRDT,HIV,Others,Others,Test kit,100,20,7000.0,350.0,3.5,Yes,13.72,1172.11,48.0
Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,,2009-03-30,2009-06-30,2009-06-30,2009-06-30,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Others,Tablet,120,10240,420864.0,41.1,0.34,Yes,824.89,14806.48,2523.0
Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,,2009-03-30,2009-07-22,2009-07-22,2009-07-22,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Others,Capsule,336,400,15344.0,38.36,0.11,Yes,30.07,7642.97,175.0
Haiti,PMO - US,Direct Drop,EXW,Air,,2009-04-02,2009-09-16,2009-09-16,2009-09-16,HRDT,HIV,Others,Others,Test kit,100,60,21000.0,350.0,3.5,Yes,41.16,3128.19,144.0
Others,PMO - US,Direct Drop,EXW,Air,,2009-04-04,2009-07-10,2009-07-10,2009-07-10,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,7500,600000.0,80.0,0.8,Yes,1176.0,16835.31,2215.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,2009-04-09,2009-08-18,2009-08-18,2009-08-18,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,6395,511600.0,80.0,0.8,Yes,1002.74,24514.33,1915.0
Others,PMO - US,Direct Drop,CIP,Air,,2009-04-15,2009-07-25,2009-07-25,2009-07-25,ARV,Adult,HETERO LABS LIMITED,Generic,Tablet,30,55356,386384.88,6.98,0.23,Yes,757.31,37404.74,4482.0
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2009-04-15,2009-09-15,2009-09-15,2009-09-15,HRDT,HIV,Others,Others,Test kit,40,1000,110000.0,110.0,2.75,Yes,215.6,8074.03,1101.0
Vietnam,PMO - US,Direct Drop,FCA,Air,,2009-04-29,2009-07-17,2009-07-17,2009-07-17,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Others,Capsule,336,8,613.76,76.72,0.23,Yes,1.2,3366.04,48.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2009-04-29,2009-07-10,2009-07-10,2009-07-10,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60,3500,39025.0,11.15,0.19,Yes,76.49,6341.88,1804.0
Others,PMO - US,Direct Drop,EXW,Air,,2009-05-27,2009-06-12,2009-07-10,2009-07-10,HRDT,HIV,Others,Others,Test kit,100,5,1750.0,350.0,3.5,Yes,3.43,684.42,12.0
Others,PMO - US,Direct Drop,EXW,Air,,2009-05-18,2009-09-01,2009-09-01,2009-09-01,HRDT,HIV,"Orgenics, Ltd",Others,Test kit,25,67,5025.0,75.0,3.0,Yes,9.85,401.97,48.0
Vietnam,PMO - US,Direct Drop,CIP,Air,,2009-05-27,2009-07-28,2009-07-28,2009-07-28,ARV,Pediatric,Others,Others,Tablet,60,400,2800.0,7.0,0.12,Yes,5.49,14.36,148.0
Others,PMO - US,Direct Drop,EXW,Air,,2009-06-02,2009-06-29,2009-06-29,2009-06-29,HRDT,HIV,"Trinity Biotech, Plc",Uni-Gold,Test kit,20,220,7040.0,32.0,1.6,Yes,13.8,1736.18,79.0
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2006-04-19,2006-06-27,2006-06-27,2006-06-27,HRDT,HIV,Others,Others,Test kit,40,147,11076.45,75.35,1.88,Yes,47.04,1816.57,165.0
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,,2006-07-14,2006-07-14,2006-07-14,HRDT,HIV,Others,Others,Test kit,100,6,2400.0,400.0,4.0,Yes,47.04,1039.5,15.0
Vietnam,PMO - US,Direct Drop,CIP,Air,,,2006-11-16,2006-11-16,2006-11-16,ARV,Pediatric,Others,Others,Tablet,60,2800,19600.0,7.0,0.12,Yes,47.04,3292.15,555.0
Haiti,PMO - US,Direct Drop,EXW,Air,,,2006-11-09,2006-11-09,2006-11-09,HRDT,HIV,Others,Others,Test kit,100,15,6000.0,400.0,4.0,Yes,47.04,1195.29,36.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,,2006-12-07,2006-12-07,2006-12-07,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60,894,2994.9,3.35,0.06,Yes,47.04,4861.14,479.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2006-11-15,2007-03-14,2007-03-14,2007-03-14,ARV,Adult,Others,Generic,Tablet,60,25100,276100.0,11.0,0.18,Yes,47.04,18772.94,2575.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2006-11-15,2007-03-14,2007-03-14,2007-03-14,ARV,Adult,Others,Generic,Capsule,60,95500,144205.0,1.51,0.03,Yes,47.04,42453.21,9170.0
Others,PMO - US,Direct Drop,EXW,Air,,,2006-12-29,2006-12-29,2006-12-29,HRDT,HIV,"Trinity Biotech, Plc",Uni-Gold,Test kit,20,900,36000.0,40.0,2.0,Yes,47.04,4989.87,316.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-01-09,2007-05-12,2007-05-12,2007-05-12,ARV,Adult,Others,Generic,Tablet,60,70000,525000.0,7.5,0.12,Yes,47.04,31858.09,6813.0
Others,PMO - US,Direct Drop,EXW,Air,,2006-12-22,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,Others,Generic,Tablet,30,71577,1087970.4,15.2,0.51,No,47.04,64179.42,7416.0
Others,PMO - US,Direct Drop,EXW,Air,,2006-12-22,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,Others,Generic,Tablet,60,5605,202340.5,36.1,0.6,No,47.04,64179.42,7416.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-02-07,2007-08-24,2007-08-24,2007-08-24,ARV,Adult,Others,Generic,Tablet,60,25000,187500.0,7.5,0.12,Yes,300.0,21439.59,2348.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,,2007-03-15,2007-03-30,2007-03-30,HRDT,HIV,Others,Others,Test kit,40,375,28500.0,76.0,1.9,Yes,47.04,4445.75,402.0
Others,PMO - US,Direct Drop,EXW,Air,,2006-12-14,2007-01-15,2007-01-15,2007-01-15,HRDT,HIV,Others,Determine,Test kit,100,4650,372000.0,80.0,0.8,Yes,47.04,24859.45,1707.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,,2007-09-07,2007-09-07,2007-09-07,HRDT,HIV,Others,Determine,Test kit,100,3500,280000.0,80.0,0.8,Yes,448.0,5858.57,1194.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-07-03,2007-10-02,2007-10-02,2007-10-02,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240,1000,1920.0,1.92,0.01,Yes,3.07,13762.41,960.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-07-03,2007-10-02,2007-10-02,2007-10-02,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240,1000,2100.0,2.1,0.01,No,3.36,13762.41,960.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-07-04,2007-10-15,2007-10-15,2007-10-15,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240,1000,2100.0,2.1,0.01,No,3.36,4193.49,941.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-07-04,2007-10-15,2007-10-15,2007-10-15,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60,3000,40500.0,13.5,0.22,Yes,64.8,4454.62,332.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-07-04,2007-11-23,2007-11-23,2007-11-23,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,30,22500,277425.0,12.33,0.41,Yes,443.88,16095.39,1955.0
Vietnam,PMO - US,Direct Drop,FCA,Air,,2007-07-03,2007-08-27,2007-08-27,2007-08-27,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Others,Tablet,120,500,41095.0,82.19,0.68,Yes,65.75,1767.38,117.0
Tanzania,PMO - US,Direct Drop,EXW,Air,,,2007-09-19,2007-09-19,2007-09-19,HRDT,HIV,Others,Others,Test kit,25,10000,200000.0,20.0,0.8,Yes,320.0,25165.3,3336.0
Others,PMO - US,Direct Drop,EXW,Air,,2007-11-12,2008-01-28,2008-01-28,2008-01-28,ARV,Adult,Others,Others,Tablet,30,1609,27353.0,17.0,0.57,Yes,43.76,7922.24,157.0
Vietnam,PMO - US,Direct Drop,FCA,Air,,2007-11-21,2008-03-28,2008-03-28,2008-03-28,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Others,Capsule,336,100,18333.0,183.33,0.55,Yes,29.33,2535.4,337.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,2007-11-30,2008-01-21,2008-01-21,2008-01-21,HRDT,HIV,Others,Others,Test kit,20,10000,270000.0,27.0,1.35,Yes,432.0,28002.75,3336.0
Others,PMO - US,Direct Drop,CIP,Air,,2007-12-03,2008-01-28,2008-01-28,2008-01-28,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,60,1099,30222.5,27.5,0.46,Yes,48.36,1511.25,113.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-12-05,2008-02-01,2008-02-01,2008-02-01,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,60,1200,2100.0,1.75,0.03,Yes,3.36,2429.85,125.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,,2008-02-05,2008-02-05,2008-02-05,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,650,51993.5,79.99,0.8,Yes,83.19,2577.27,148.0
Others,PMO - US,Direct Drop,EXW,Air,,2008-02-04,2008-07-03,2008-07-03,2008-07-03,HRDT,HIV,"Trinity Biotech, Plc",Uni-Gold,Test kit,20,450,14400.0,32.0,1.6,Yes,23.04,2496.62,154.0
Nigeria,PMO - US,Direct Drop,EXW,Air,,2008-01-29,2008-09-19,2008-07-16,2008-07-16,HRDT,HIV,Others,Others,Test kit,20,10270,277290.0,27.0,1.35,Yes,443.66,18864.37,2907.0
Mozambique,PMO - US,Direct Drop,EXW,Air,,2008-02-19,2008-03-27,2008-03-27,2008-03-27,HRDT,HIV,"Trinity Biotech, Plc",Uni-Gold,Test kit,20,9000,288000.0,32.0,1.6,Yes,460.8,55746.59,9000.0
Zambia,PMO - US,Direct Drop,EXW,Air,,2008-02-25,2008-05-14,2008-05-14,2008-05-14,HRDT,HIV,"Trinity Biotech, Plc",Uni-Gold,Test kit,20,6040,193280.0,32.0,1.6,Yes,309.25,24689.0,2052.0
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2008-02-27,2009-03-04,2009-03-04,2009-03-04,HRDT,HIV,Others,Others,Test kit,20,289,7803.0,27.0,1.35,Yes,15.29,1104.69,79.0
Mozambique,PMO - US,Direct Drop,EXW,Air,,2008-02-27,2008-07-09,2008-07-04,2008-07-04,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,3000,215970.0,71.99,0.72,Yes,345.55,5298.9,682.0
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2008-02-28,2008-07-22,2008-07-22,2008-07-22,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,1116,78120.0,70.0,0.7,Yes,124.99,5175.72,255.0
Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2008-02-29,2008-12-19,2008-12-19,2008-12-19,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,1116,78120.0,70.0,0.7,Yes,153.12,7118.12,256.0
Others,PMO - US,Direct Drop,EXW,Air,,2008-02-28,2008-05-06,2008-05-06,2008-05-06,HRDT,HIV,"Trinity Biotech, Plc",Uni-Gold,Test kit,20,832,26624.0,32.0,1.6,Yes,42.6,3740.04,832.0
Others,PMO - US,Direct Drop,EXW,Air,,2008-02-28,2008-07-28,2008-07-28,2008-07-28,HRDT,HIV,"Orgenics, Ltd",Determine,Test kit,100,213,15333.87,71.99,0.72,Yes,24.53,959.46,49.0
Others,PMO - US,Direct Drop,EXW,Air,,,2008-04-11,2008-04-11,2008-04-11,HRDT,HIV,Others,Others,Test kit,100,10,3500.0,350.0,3.5,Yes,5.6,604.0,39.0
Vietnam,PMO - US,Direct Drop,EXW,Air,,2008-03-31,2008-07-07,2008-06-20,2008-06-20,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60,10080,29232.0,2.9,0.05,Yes,46.77,4159.45,507.0
